Project Name,Year,Date,Location,Area,Treatment ID,Treatment,Habitat,N Trial,N2 Flux,SOD ,NOX Flux,NH4 Flux,SOM,N2_flux_calc,NOX_flux_calc,NH4_flux_calc,DNF_eff
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY LOB-2,Loose on Bottom,CULTURE,Ambient,274.8,2570,2.29,4.8,10.8,274.8,2.29,4.8,97.48
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY LOB-3,Loose on Bottom,CULTURE,Ambient,262.6,1917,0.4,-2.66,14.31,262.6,0.4,0,99.85
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-1,Natural Reef,REEF,Ambient,268.9,2746,5.73,200.1,8.61,268.9,5.73,200.1,56.64
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-2,Natural Reef,REEF,Ambient,285.1,2124,8.23,89.26,2.55,285.1,8.23,89.26,74.52
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-3,Natural Reef,REEF,Ambient,90.3,2313,3.36,-6.13,10.64,90.3,3.36,0,96.41
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-1,Flat,FLAT,Enriched,18.9,389,-14.65,90.86,7.33,18.9,0,90.86,17.22
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-2,Flat,FLAT,Enriched,25.8,336,-19.98,72.21,7.12,25.8,0,72.21,26.32
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-3,Flat,FLAT,Enriched,26.2,523,-70.61,36.1,8.9,26.2,0,36.1,42.05
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-1,Bottom Cage,CULTURE,Enriched,13.1,227,4,94.85,1.85,13.1,4,94.85,11.70
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-2,Bottom Cage,CULTURE,Enriched,30.8,373,-9.33,47.29,2.07,30.8,0,47.29,39.44
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-3,Bottom Cage,CULTURE,Enriched,19.4,555,-38.63,76.2,1.66,19.4,0,76.2,20.29
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-1,Floating Bags,CULTURE,Enriched,11.2,345,-47.96,29.44,0.56,11.2,0,29.44,27.56
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-2,Floating Bags,CULTURE,Enriched,17.1,610,-118.57,2,0.66,17.1,0,2,89.53
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-3,Floating Bags,CULTURE,Enriched,13.1,498,-95.92,48.36,0.63,13.1,0,48.36,21.31
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-1,Floating Bags Edge,CULTURE,Enriched,-99.8,910,27.98,-30.24,0.66,0,27.98,0,0.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-2,Floating Bags Edge,CULTURE,Enriched,-89.2,1000,-50.62,-27.44,0.5,0,0,0,#DIV/0!
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-3,Floating Bags Edge,CULTURE,Enriched,127.7,2532,-123.9,-74.74,N/A,127.7,0,0,100.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY LOB-1,Loose on Bottom,CULTURE,Enriched,-61.6,2118,-123.9,-45.69,12.73,0,0,0,#DIV/0!
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY LOB-2,Loose on Bottom,CULTURE,Enriched,118.6,2956,-218.75,-102.82,10.8,118.6,0,0,100.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY LOB-3,Loose on Bottom,CULTURE,Enriched,115.6,2947,-163.86,-109.13,14.31,115.6,0,0,100.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-1,Natural Reef,REEF,Enriched,176.5,2674,-274.84,-107.87,8.61,176.5,0,0,100.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-2,Natural Reef,REEF,Enriched,148.4,2487,-165.19,-95.25,2.55,148.4,0,0,100.00
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY Wild-3,Natural Reef,REEF,Enriched,140,2794,-282.3,-109.3,10.64,140,0,0,100.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-1,Flat,FLAT,Ambient,-27.9,912,-2.46,8.53,7.85,0,0,8.53,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-2,Flat,FLAT,Ambient,-39.8,807,0.19,28.24,7.53,0,0.19,28.24,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-3,Flat,FLAT,Ambient,78,1036,-2.46,26.51,8.02,78,0,26.51,74.63
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-1,Bottom Cage,CULTURE,Ambient,98.5,2211,-2.05,12.79,4.62,98.5,0,12.79,88.51
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-2,Bottom Cage,CULTURE,Ambient,84.1,2978,-0.24,32.91,2.66,84.1,0,32.91,71.87
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-3,Bottom Cage,CULTURE,Ambient,85.5,3137,-0.33,591.1,5.09,85.5,0,591.1,12.64
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-1,Floating Bags,CULTURE,Ambient,-19.6,747,0.72,58.88,2.28,0,0.72,58.88,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-2,Floating Bags,CULTURE,Ambient,109.9,3064,1.73,171.46,3.46,109.9,1.73,171.46,38.82
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-3,Floating Bags,CULTURE,Ambient,80.1,1043,0.85,55.82,2.93,80.1,0.85,55.82,58.57
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-1,Floating Bags Edge,CULTURE,Ambient,-44.4,624,-0.01,128.74,0.72,0,0,128.74,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-2,Floating Bags Edge,CULTURE,Ambient,-38.5,428,3.65,-1.33,2.57,0,3.65,0,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-3,Floating Bags Edge,CULTURE,Ambient,-47.4,973,2.33,196.69,3.24,0,2.33,196.69,0.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-1,Loose on Bottom,CULTURE,Ambient,40.2,950,0.88,38.69,2.04,40.2,0.88,38.69,50.39
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-2,Loose on Bottom,CULTURE,Ambient,14.3,443,1.16,22.7,2.54,14.3,1.16,22.7,37.47
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-3,Loose on Bottom,CULTURE,Ambient,4.8,604,-0.46,11.51,1.76,4.8,0,11.51,29.43
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-1,Natural Reef,REEF,Ambient,21.5,628,2.01,35.36,2.27,21.5,2.01,35.36,36.52
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-2,Natural Reef,REEF,Ambient,18.7,1125,4.29,95.57,0.93,18.7,4.29,95.57,15.77
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-3,Natural Reef,REEF,Ambient,117.9,348,-0.59,-0.29,1.14,117.9,0,0,100.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-1,Flat,FLAT,Enriched,65.9,410,-30.64,84.73,7.85,65.9,0,84.73,43.75
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-2,Flat,FLAT,Enriched,57.4,615,-106.58,59.42,7.53,57.4,0,59.42,49.14
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,C no OY-3,Flat,FLAT,Enriched,198.2,725,-138.55,53.82,8.02,198.2,0,53.82,78.64
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-1,Bottom Cage,CULTURE,Enriched,213.6,2563,-274.97,54.09,4.62,213.6,0,54.09,79.79
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-2,Bottom Cage,CULTURE,Enriched,192.2,2728,-303.74,-12.4,2.66,192.2,0,0,100.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY B Cage-3,Bottom Cage,CULTURE,Enriched,193.9,2761,-303.74,181.45,5.09,193.9,0,181.45,51.66
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-1,Floating Bags,CULTURE,Enriched,126,1096,-70.61,33.57,2.28,126,0,33.57,78.96
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-2,Floating Bags,CULTURE,Enriched,185.1,2576,-222.75,83.93,3.46,185.1,0,83.93,68.80
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-M-3,Floating Bags,CULTURE,Enriched,100.1,918,-73.27,2.8,2.93,100.1,0,2.8,97.28
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-1,Floating Bags Edge,CULTURE,Enriched,23.8,293,-13.32,46.76,0.72,23.8,0,46.76,33.73
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-2,Floating Bags Edge,CULTURE,Enriched,121.5,358,15.99,11.59,2.57,121.5,15.99,11.59,81.50
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY float-edge-3,Floating Bags Edge,CULTURE,Enriched,131.1,687,-11.99,36.9,3.24,131.1,0,36.9,78.04
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-1,Loose on Bottom,CULTURE,Enriched,127.3,795,-19.98,6.26,2.04,127.3,0,6.26,95.31
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-2,Loose on Bottom,CULTURE,Enriched,126.8,354,-25.31,3.73,2.54,126.8,0,3.73,97.14
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY LOB-3,Loose on Bottom,CULTURE,Enriched,115.3,639,-21.32,-3.92,1.76,115.3,0,0,100.00
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-1,Natural Reef,REEF,Enriched,108.7,713,-14.65,64.48,2.27,108.7,0,64.48,62.77
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-2,Natural Reef,REEF,Enriched,99.6,1060,37.3,29.04,0.93,99.6,37.3,29.04,60.02
SG Oyster Culture,2021,6/21/21,Stump Sound,Stump Sound,OY Wild-3,Natural Reef,REEF,Enriched,106,417,-63.95,-12.86,1.14,106,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-1,Flat,FLAT,Ambient,30.7,689,0.91,38.23,2.42,30.7,0.91,38.23,43.96
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-2,Flat,FLAT,Ambient,9,269,0,31.84,0.66,9,0,31.84,22.04
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-3,Flat,FLAT,Ambient,24.6,438,5.86,27.44,0.65,24.6,5.86,27.44,42.49
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-1,Bottom Cage,CULTURE,Ambient,5.7,322,0,-35.44,2.85,5.7,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-2,Bottom Cage,CULTURE,Ambient,6.4,402,1.18,14.39,1.3,6.4,1.18,14.39,29.13
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-3,Bottom Cage,CULTURE,Ambient,-5.4,408,0,-35.44,1.5,0,0,0,#DIV/0!
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-1,Floating Bags,CULTURE,Ambient,64.2,1198,0,19.45,5.88,64.2,0,19.45,76.75
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-2,Floating Bags,CULTURE,Ambient,50.9,1205,0,49.43,6.18,50.9,0,49.43,50.73
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-3,Floating Bags,CULTURE,Ambient,54,1052,0,0.67,1.33,54,0,0.67,98.77
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-1,Floating Bags Edge,CULTURE,Ambient,60,911,1.48,104.18,2.56,60,1.48,104.18,36.22
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-2,Floating Bags Edge,CULTURE,Ambient,51.7,886,0.49,10.52,2.41,51.7,0.49,10.52,82.44
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-3,Floating Bags Edge,CULTURE,Ambient,50.2,714,1.15,32.11,3.06,50.2,1.15,32.11,60.15
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-1,Loose on Bottom,CULTURE,Ambient,-37.7,425,2.6,27.58,1.36,0,2.6,27.58,0.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-2,Loose on Bottom,CULTURE,Ambient,62.2,545,1.01,129.49,1.77,62.2,1.01,129.49,32.28
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-3,Loose on Bottom,CULTURE,Ambient,53.7,633,0.52,-45.56,0.66,53.7,0.52,0,99.04
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-1,Natural Reef,REEF,Ambient,57.1,833,0,4.53,2.27,57.1,0,4.53,92.65
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-2,Natural Reef,REEF,Ambient,44.9,676,1.75,48.49,0.96,44.9,1.75,48.49,47.19
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-3,Natural Reef,REEF,Ambient,24.6,554,0,-29.44,1.33,24.6,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-1,Flat,FLAT,Enriched,121.4,910,-177.18,-19.45,2.42,121.4,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-2,Flat,FLAT,Enriched,117.7,401,-173.19,25.31,0.66,117.7,0,25.31,82.30
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,C no OY-3,Flat,FLAT,Enriched,112.6,562,-113.24,54.62,0.65,112.6,0,54.62,67.34
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-1,Bottom Cage,CULTURE,Enriched,-156.5,167,-94.59,10.66,2.85,0,0,10.66,0.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-2,Bottom Cage,CULTURE,Enriched,50.6,1060,-98.58,27.98,1.3,50.6,0,27.98,64.39
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY B Cage-3,Bottom Cage,CULTURE,Enriched,162.1,500,-61.28,74.6,1.5,162.1,0,74.6,68.48
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-1,Floating Bags,CULTURE,Enriched,143.1,2148,-129.22,-18.12,5.88,143.1,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-2,Floating Bags,CULTURE,Enriched,124.1,2222,-177.18,73.27,6.18,124.1,0,73.27,62.88
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-M-3,Floating Bags,CULTURE,Enriched,123,1254,-133.22,2.66,1.33,123,0,2.66,97.88
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-1,Floating Bags Edge,CULTURE,Enriched,71.3,991,-214.49,6.66,2.56,71.3,0,6.66,91.46
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-2,Floating Bags Edge,CULTURE,Enriched,166.8,787,-93.25,46.63,2.41,166.8,0,46.63,78.15
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY float-edge-3,Floating Bags Edge,CULTURE,Enriched,149.9,1008,-137.22,10.66,3.06,149.9,0,10.66,93.36
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-1,Loose on Bottom,CULTURE,Enriched,71.4,749,-107.91,227.81,1.36,71.4,0,227.81,23.86
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-2,Loose on Bottom,CULTURE,Enriched,168.1,980,-114.57,83.93,1.77,168.1,0,83.93,66.70
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY LOB-3,Loose on Bottom,CULTURE,Enriched,155.2,1276,-142.55,146.54,0.66,155.2,0,146.54,51.44
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-1,Natural Reef,REEF,Enriched,65.5,2551,-151.87,-120.96,2.27,65.5,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-2,Natural Reef,REEF,Enriched,27,2187,-177.18,-47.83,0.96,27,0,0,100.00
SG Oyster Culture,2021,6/28/21,Core Sound,Core Sound,OY Wild-3,Natural Reef,REEF,Enriched,59.8,1011,-158.53,-27.04,1.33,59.8,0,0,100.00
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,47.5,951.6,1.59,-1.25,6.65,47.5,1.59,0,96.76
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,66.5,1460.8,-4.48,-6.37,5.69,66.5,0,0,100.00
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,51.1,1060,-4.97,0.45,6.97,51.1,0,0.45,99.13
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,67.7,1446.6,-4.32,-0.99,6.5,67.7,0,0,100.00
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,80.8,1656.5,-1.37,-2.77,5.69,80.8,0,0,100.00
Oyster Relay,2022,6/13/22,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,74.7,2222.8,-5.64,-2.09,8.48,74.7,0,0,100.00
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,41.6,900.2,3.25,-10.22,4.61,41.6,3.25,0,92.75
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,43,974.6,-1.44,-5.76,3.04,43,0,0,100.00
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,97.9,1029.5,-1.23,-6.35,7.09,97.9,0,0,100.00
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,85.5,1401.6,3.05,9.38,6.69,85.5,3.05,9.38,87.31
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,45,1338.3,1.08,-0.51,3.81,45,1.08,0,97.66
Oyster Relay,2022,6/13/22,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,62.1,1613.1,0,11.44,6.76,62.1,0,11.44,84.44
Oyster Relay,2022,6/13/22,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Ambient,21.8,531.1,0.2,-18.25,14.52,21.8,0.2,0,99.09
